power_degree,cluster_coefficient,distance,average_degree,density,modularity,maximum_distance,size
-1.6015966045903964,0.1690792128445581,3.4244444444444446,5.18,0.05232323232323232,0.46372296179245986,8,100
-1.596357162437045,0.2052157287157287,4.742828282828283,3.64,0.03676767676767677,0.6188564183069678,12,100
-1.4322098928224778,0.26663112986682785,3.541212121212121,4.74,0.04787878787878788,0.595212661788531,10,100
-1.5259373224439867,0.17954040404040397,3.826868686868687,4.14,0.04181818181818182,0.5816705173983057,9,100
-2.0742481933800176,0.15669696969696972,4.160404040404041,3.58,0.03616161616161616,0.5994975188040322,10,100
-1.108170527181769,0.24969874102505676,3.097979797979798,5.4,0.05454545454545454,0.49589849108367634,8,100
-1.916982265611407,0.25450093370681603,4.135353535353535,3.78,0.038181818181818185,0.6581422692533804,10,100
-1.5806677422960316,0.28132215742558986,2.8854545454545453,5.78,0.058383838383838385,0.4683672369823158,7,100
-1.109141115185293,0.24726984723895482,3.3856565656565656,5.1,0.051515151515151514,0.4787235678585159,9,100
-0.944891403840991,0.20377741702741708,3.469292929292929,5.06,0.051111111111111114,0.523988814073021,10,100
-2.2471933462505325,0.2038253968253968,4.66,3.8,0.03838383838383838,0.6516343490304708,12,100
-1.8241611584327793,0.1717992399757106,5.550303030303031,4.4,0.044444444444444446,0.5493595041322314,20,100
-2.1566090300453125,0.15941847041847043,5.108080808080808,3.44,0.03474747474747475,0.6866211465657113,13,100
-1.7435118095349473,0.15370824437000907,3.69010101010101,4.1,0.04141414141414142,0.5993099345627604,9,100
-1.4422237511300537,0.19200789472414187,3.4353535353535354,4.84,0.04888888888888889,0.49003654121986195,9,100
-1.746945564184473,0.20337989787989785,5.188282828282828,3.56,0.03595959595959596,0.6639786643100619,18,100
-2.486073247666868,0.20498667998668002,3.79010101010101,4.0,0.04040404040404041,0.5854624999999999,9,100
-0.6057606790298276,0.2965707191027398,3.0965656565656565,5.58,0.056363636363636366,0.4282126385837797,10,100
-1.177791816636224,0.24816249436837662,4.193333333333333,3.8,0.03838383838383838,0.632437673130194,11,100
-1.5035103613144467,0.14231996271702158,3.6634343434343433,4.36,0.04404040404040404,0.5136352158909183,11,100
-1.20030598650917,0.17009333940912888,4.9688888888888885,3.78,0.038181818181818185,0.5794350662075529,16,100
-1.8063987331553621,0.18041665360783005,3.4133333333333336,5.38,0.054343434343434346,0.503717472118959,10,100
-1.1074361799577024,0.27644002065895995,3.1113131313131315,5.1,0.051515151515151514,0.4948404459823146,7,100
