power_degree,cluster_coefficient,distance,average_degree,density,modularity,maximum_distance,size
-0.8401045695758126,0.2979699443413729,7.267676767676767,3.14,0.03171717171717172,0.554160412187107,23,100
-1.0657030731769805,0.21668812642270321,8.832525252525253,3.84,0.03878787878787879,0.5013970269097223,25,100
-0.7257634273296034,0.23421341070277243,6.898181818181818,3.14,0.03171717171717172,0.5328816584851312,22,100
-0.9081352171493096,0.17177259994907057,11.88929292929293,3.0,0.030303030303030304,0.6041555555555556,29,100
-0.8475303560903582,0.2893176753460005,7.904444444444445,4.04,0.04080808080808081,0.4770733261444957,23,100
-1.3221277401778027,0.11855555555555557,17.935353535353535,2.72,0.027474747474747475,0.6911764705882352,40,100
-0.8335869601131705,0.25383010226488484,8.522222222222222,3.64,0.03676767676767677,0.5293291872962202,25,100
-0.7133409737346009,0.2820867113319943,5.486262626262627,4.12,0.041616161616161614,0.458195871429918,19,100
-0.45355330991112863,0.14773484848484852,9.713333333333333,2.8,0.028282828282828285,0.6279846938775511,27,100
-1.0095946067844814,0.21987087781824624,10.83838383838384,3.34,0.03373737373737374,0.565007709132633,32,100
-1.0487530655807766,0.16600738374528692,11.033535353535354,3.4,0.03434343434343434,0.5703806228373702,32,100
-0.8209626332620046,0.23781102231102236,9.474949494949495,3.44,0.03474747474747475,0.5491143861546782,28,100
-0.919869614527617,0.22454128420599007,7.066868686868687,3.6,0.03636363636363636,0.5058487654320987,23,100
-0.6850765210606062,0.1526190476190476,5.353131313131313,3.14,0.03171717171717172,0.5797598279849082,18,100
-0.6263468200336562,0.32226040550353835,4.75939393939394,3.92,0.039595959595959594,0.4652228238234069,17,100
-0.746190074082141,0.280335126777984,8.142020202020202,3.62,0.036565656565656565,0.5090351332376912,23,100
-0.8257841763606081,0.21493643754619365,10.408888888888889,3.04,0.030707070707070707,0.5736452562326869,27,100
-1.1383120926479027,0.3225003141082089,4.682626262626263,4.54,0.045858585858585856,0.40995361835083155,19,100
-0.8011335521306813,0.1837970738938481,15.36,3.06,0.03090909090909091,0.6273228245546585,35,100
-0.8866472491425896,0.154478451655871,12.258787878787878,3.08,0.03111111111111111,0.6123081463990555,31,100
-0.928901098041339,0.24824344283167807,5.972121212121212,3.3,0.03333333333333333,0.544573002754821,23,100
-0.5856641885885274,0.179904181184669,5.955353535353535,3.14,0.03171717171717172,0.5598198709886811,20,100
-0.788231412143529,0.19776688650372853,11.54888888888889,2.96,0.0298989898989899,0.5996849890430973,30,100
-0.9649801665717843,0.17165012406947888,14.406868686868687,2.86,0.028888888888888888,0.6287593525355762,33,100
-0.7289202328077505,0.23452172472917154,4.272929292929293,3.24,0.03272727272727273,0.5276063100137174,14,100
-1.029146170740351,0.24781378859235997,6.962020202020202,3.66,0.03696969696969697,0.48735405655588415,22,100
-0.6651566017704988,0.22546045084700547,3.9335353535353534,3.44,0.03474747474747475,0.5020112222823148,14,100
-0.8107402124059612,0.26966360698333136,12.365050505050505,3.74,0.03777777777777778,0.5591666904972976,30,100
-0.796646176251818,0.18643355317039528,8.457777777777778,3.02,0.030505050505050504,0.5886803210385508,28,100
-0.7685547788102928,0.3149106354528516,8.64969696969697,4.8,0.048484848484848485,0.38524305555555555,24,100
-0.8783339644463589,0.25653804119521484,10.85010101010101,4.04,0.04080808080808081,0.4877830604842663,28,100
-1.0522459856833504,0.24529189025761863,9.164242424242424,3.98,0.040202020202020204,0.49635110224489276,27,100
-0.8452443015774823,0.2849120879120879,4.649494949494949,3.32,0.033535353535353536,0.5319531136594572,18,100
-0.7544387136019214,0.20701695526695535,10.844040404040404,3.26,0.032929292929292926,0.5701569498287478,32,100
-0.6826438909472228,0.24931179138321993,5.287878787878788,3.38,0.03414141414141414,0.5271524106298799,18,100
-0.5405075672536016,0.1945127353266888,5.576363636363636,3.22,0.032525252525252527,0.5423208981134987,19,100
-0.6287386894753791,0.2160968079539508,3.6662626262626263,3.3,0.03333333333333333,0.519504132231405,12,100
-0.7516686460548602,0.2460378831694622,12.390707070707071,3.22,0.032525252525252527,0.576694571968674,30,100
-0.5297019156935083,0.2527979797979799,9.335353535353535,3.02,0.030505050505050504,0.5729792552958204,26,100
-0.5046430547183135,0.24681009070294788,5.951313131313131,3.08,0.03111111111111111,0.5398254343059538,20,100
-0.891089977010714,0.23660978337469743,9.312525252525253,3.36,0.03393939393939394,0.5115681689342404,25,100
-0.725476204693781,0.1485597572362278,9.122828282828284,2.84,0.028686868686868688,0.6192223765125967,26,100
-0.8518122066485364,0.22829260004957888,6.270707070707071,3.32,0.033535353535353536,0.5428944694440413,20,100
-0.9640695792636208,0.16352614818132058,13.876767676767678,3.12,0.03151515151515152,0.6073923405654175,33,100
-0.9385163291707891,0.2513475276343781,10.098585858585858,3.62,0.036565656565656565,0.5339427978388938,28,100
-0.8897628996722082,0.2564209009185069,10.00969696969697,3.56,0.03595959595959596,0.5343548794344148,28,100
-0.7778508702947826,0.19423443223443218,5.383636363636364,3.06,0.03090909090909091,0.5498953393993763,18,100
-0.9052514715989519,0.2574787234042553,7.106262626262626,3.24,0.03272727272727273,0.5422763298277701,22,100
-0.9530416459712614,0.22424061722591138,9.5010101010101,3.28,0.03313131313131313,0.5558819155264723,29,100
-0.7439157921968901,0.21203418803418803,12.794545454545455,2.98,0.0301010101010101,0.6043871897662267,32,100
-0.8377785697230477,0.16385086292581547,12.233535353535354,3.02,0.030505050505050504,0.604819964036665,30,100
-0.687413973808362,0.2183310178193898,7.1036363636363635,3.18,0.03212121212121212,0.555100668486215,23,100
-0.9626662784628205,0.2354255319148936,4.827676767676768,3.26,0.032929292929292926,0.544544393842448,18,100
-0.8321714538072357,0.19755658376711005,8.897373737373737,3.22,0.032525252525252527,0.5486863932718645,25,100
-0.793246483091449,0.17136910148674847,11.885050505050504,3.02,0.030505050505050504,0.5952370510065348,29,100
-0.8521460416833706,0.1315539135194308,14.155959595959596,2.76,0.027878787878787878,0.6507823986557446,33,100
-1.1805695900667714,0.19142310333332002,6.671111111111111,3.3,0.03333333333333333,0.5695867768595041,23,100
-0.9305109684269476,0.2601326306543698,9.306262626262626,3.88,0.039191919191919194,0.45683653948347325,26,100
-0.7855365694548155,0.2210509446693657,11.201818181818181,3.1,0.031313131313131314,0.5856191467221643,29,100
-0.6322528051216706,0.18556662877352534,16.308282828282827,2.92,0.029494949494949494,0.6588243572902983,36,100
-0.7970753009681467,0.31953252690158856,8.8989898989899,4.24,0.042828282828282827,0.4726103595585618,25,100
-0.917129986529165,0.1871265172735761,12.146262626262626,3.24,0.03272727272727273,0.5898681603414113,30,100
-0.9926512135558341,0.22871935635424007,8.763030303030304,3.76,0.03797979797979798,0.5067479628791308,24,100
-0.5033544624255392,0.16278246753246758,11.989090909090908,2.76,0.027878787878787878,0.6356595253098088,31,100
-0.8995360718722522,0.14033333333333337,13.972525252525253,2.9,0.029292929292929294,0.6338882282996432,34,100
-0.6449709062009211,0.264214858670741,3.597171717171717,3.44,0.03474747474747475,0.4800398864250946,13,100
-0.944057940770854,0.14884469696969693,9.362222222222222,2.78,0.02808080808080808,0.6276590238600487,26,100
-0.7893555331252174,0.2760071041173325,4.584646464646465,3.46,0.03494949494949495,0.5078853286110461,18,100
-0.770327589624585,0.22513131313131318,8.249494949494949,3.08,0.03111111111111111,0.5523064597739922,23,100
-0.9723871045126846,0.29460171809614555,7.605656565656566,4.04,0.04080808080808081,0.47166944417213996,22,100
-0.8313279640078702,0.27925512265512265,4.06,3.9,0.03939393939393939,0.4756213017751479,14,100
-0.6506866088007943,0.26899475962633856,3.4656565656565657,3.74,0.03777777777777778,0.496125139409191,13,100
-0.9051664649445732,0.21960538957597783,7.5,3.28,0.03313131313131313,0.5931737061273051,23,100
-1.0368716297809049,0.24213410555510234,9.82929292929293,3.46,0.03494949494949495,0.527381469477764,28,100
-0.8778376288608767,0.24329780671161746,4.059191919191919,3.76,0.03797979797979798,0.5009053870529651,15,100
-0.8736590352812481,0.19354363186716128,9.041010101010102,3.22,0.032525252525252527,0.577986960379615,26,100
-1.2154163931099524,0.2111520832109067,14.375353535353536,2.88,0.02909090909090909,0.6195987654320987,33,100
-0.7238701486680351,0.29335784388025776,8.66868686868687,4.04,0.04080808080808081,0.4875502401725321,25,100
-0.6586848867288404,0.20883565621370498,5.1195959595959595,3.14,0.03171717171717172,0.5661690129417014,17,100
-0.8021014063021724,0.14844182027649766,10.274949494949494,2.72,0.027474747474747475,0.6274059256055363,27,100
-0.8749919100493174,0.23953505409319364,10.238181818181818,3.1,0.031313131313131314,0.5670343392299687,27,100
-0.9267876864956762,0.26947661834289743,9.01030303030303,3.64,0.03676767676767677,0.5440315179326168,27,100
-0.7823819080829117,0.28715589860872887,6.414949494949495,3.28,0.03313131313131313,0.5137566924449732,20,100
-1.1337620397295118,0.2423622918052229,7.7561616161616165,3.62,0.036565656565656565,0.5079515277311437,26,100
-0.7483757310863532,0.1917161531279178,11.92060606060606,2.86,0.028888888888888888,0.6203481832852462,30,100
-0.941908625489591,0.2660529341949091,11.74040404040404,3.82,0.038585858585858585,0.5247389051835202,29,100
-0.5348146199354373,0.188544548474781,5.6036363636363635,3.02,0.030505050505050504,0.5515547563703347,19,100
-0.8260597105323434,0.2590701059744706,12.368484848484849,3.82,0.038585858585858585,0.5256846029439982,30,100
-0.8111044420587287,0.2046505602240896,14.04949494949495,3.14,0.03171717171717172,0.6043450038541117,33,100
-0.8654849461769214,0.23738095238095236,9.074141414141414,3.22,0.032525252525252527,0.5564021449789746,27,100
-1.054265337440388,0.2037109116373822,13.760202020202021,3.58,0.03616161616161616,0.5592366031022752,33,100
-0.6271460128331073,0.18838344988344996,5.737575757575757,2.96,0.0298989898989899,0.5895270270270271,20,100
-0.6743009833550162,0.23393084693084695,7.402626262626263,3.14,0.03171717171717172,0.5497383260984218,22,100
-0.9195785088050928,0.22530268176902205,5.5464646464646465,3.84,0.03878787878787879,0.47900390625,19,100
-0.8710391409601652,0.29279022611375555,3.845858585858586,4.1,0.04141414141414142,0.45767995240928006,14,100
-0.545428166407405,0.3771049866799867,3.0256565656565657,4.2,0.04242424242424243,0.46924036281179143,10,100
-0.9022743124863639,0.28708830372981314,4.546868686868687,3.94,0.0397979797979798,0.4977711355613388,18,100
-0.8604649718174125,0.18321909218232743,13.14,3.08,0.03111111111111111,0.6049291617473436,31,100
-0.9770171247252859,0.1589431643625192,13.20080808080808,2.88,0.02909090909090909,0.6349585262345678,32,100
-1.0467481438354957,0.13881543187994802,11.99070707070707,2.86,0.028888888888888888,0.6197124553767912,30,100
-0.8930937218981922,0.17177045177045178,6.404444444444445,2.94,0.029696969696969697,0.5993336109954185,22,100
-0.8765049928752359,0.15838847590318178,5.704848484848485,3.3,0.03333333333333333,0.5788246097337006,20,100
-0.7162258840565647,0.2429432624113475,4.887070707070707,3.28,0.03313131313131313,0.5363994646044021,18,100
