power_degree,cluster_coefficient,distance,average_degree,density,modularity,maximum_distance,size
-3.2925215097272535,0.10247619047619048,5.6884848484848485,2.26,0.02282828282828283,0.7786044326102279,13,100
-1.878721074493594,0.045666666666666675,5.828282828282828,2.12,0.021414141414141413,0.79062833748665,14,100
-2.8167125022219195,0.09830952380952382,6.78949494949495,2.2,0.022222222222222223,0.7867355371900826,17,100
-2.057036418253705,0.09866666666666665,7.20969696969697,2.18,0.02202020202020202,0.797155121622759,17,100
-2.020846451684998,0.057738095238095234,6.134343434343434,2.2,0.022222222222222223,0.7746694214876033,14,100
-2.2212147257487955,0.16114285714285714,6.04,2.28,0.02303030303030303,0.7765081563558017,14,100
-1.9676001852214962,0.031523809523809516,5.441010101010101,2.16,0.02181818181818182,0.7617884087791494,14,100
-1.8209767923790132,0.0640934065934066,5.362424242424242,2.2,0.022222222222222223,0.7375206611570247,13,100
-1.530196009540615,0.0771948051948052,5.01070707070707,2.26,0.02282828282828283,0.754600986764821,12,100
-2.659929025983758,0.07862698412698413,5.793535353535353,2.22,0.022424242424242423,0.7653193734274815,13,100
-1.591266387522541,0.09785531135531135,5.773535353535354,2.3,0.023232323232323233,0.7502457466918713,14,100
-2.8586864983515112,0.08904761904761903,6.090909090909091,2.16,0.02181818181818182,0.791452331961591,13,100
-1.7221394709863846,0.05968686868686869,5.453333333333333,2.16,0.02181818181818182,0.7724194101508917,12,100
-1.518568224504357,0.06604761904761905,6.178787878787879,2.14,0.021616161616161617,0.7780592191457769,15,100
-2.555844898455216,0.010952380952380953,6.02949494949495,2.0,0.020202020202020204,0.8009500000000002,13,100
-1.8440310108700961,0.11051082251082248,6.065656565656566,2.26,0.02282828282828283,0.770890437778996,15,100
-1.7803861122003153,0.05835714285714286,6.4492929292929295,2.18,0.02202020202020202,0.776239373790085,15,100
-2.324997779443798,0.041166666666666664,6.306666666666667,2.1,0.021212121212121213,0.7812698412698413,16,100
-3.3585035194408213,0.09842857142857145,6.485050505050505,2.24,0.022626262626262626,0.7816485969387754,15,100
-2.172970547192437,0.0813968253968254,5.7585858585858585,2.24,0.022626262626262626,0.7723214285714286,14,100
-1.7218918253414057,0.1128888888888889,5.826666666666667,2.26,0.02282828282828283,0.7502545226720965,14,100
